symbol,timestamp_utc,timestamp_et,trade_date_et,time_et,open,high,low,close,volume,trade_count,vwap,timeframe,feed
COIN,2025-12-15T14:30:00Z,2025-12-15 09:30:00-0500,2025-12-15,09:30:00,267.75,268.6,265.55,266.4476,172021,2042,267.651783,1Min,sip
COIN,2025-12-15T14:31:00Z,2025-12-15 09:31:00-0500,2025-12-15,09:31:00,266.525,266.525,264.96,265.17,50474,1110,265.63678,1Min,sip
COIN,2025-12-15T14:32:00Z,2025-12-15 09:32:00-0500,2025-12-15,09:32:00,265.28,266.715,264.56,265.815,41393,766,265.40749,1Min,sip
COIN,2025-12-15T14:33:00Z,2025-12-15 09:33:00-0500,2025-12-15,09:33:00,265.7,265.7,263.8,264.0601,33595,854,264.567607,1Min,sip
COIN,2025-12-15T14:34:00Z,2025-12-15 09:34:00-0500,2025-12-15,09:34:00,263.83,263.83,262.75,263.455,57770,1508,263.145534,1Min,sip
COIN,2025-12-15T14:35:00Z,2025-12-15 09:35:00-0500,2025-12-15,09:35:00,263.46,264.79,263.37,264.542,31431,823,264.233719,1Min,sip
COIN,2025-12-15T14:36:00Z,2025-12-15 09:36:00-0500,2025-12-15,09:36:00,264.37,265.9,264.0901,265.8775,34955,815,264.905376,1Min,sip
COIN,2025-12-15T14:37:00Z,2025-12-15 09:37:00-0500,2025-12-15,09:37:00,265.615,266.36,262.14,265.74,75162,1634,265.714504,1Min,sip
COIN,2025-12-15T14:38:00Z,2025-12-15 09:38:00-0500,2025-12-15,09:38:00,265.76,265.76,264.61,264.69,26743,656,264.986756,1Min,sip
COIN,2025-12-15T14:39:00Z,2025-12-15 09:39:00-0500,2025-12-15,09:39:00,264.69,264.77,262.9001,263.2547,34028,785,263.684945,1Min,sip
COIN,2025-12-15T14:40:00Z,2025-12-15 09:40:00-0500,2025-12-15,09:40:00,263.39,264.33,263.0,263.215,33129,830,263.812983,1Min,sip
COIN,2025-12-15T14:41:00Z,2025-12-15 09:41:00-0500,2025-12-15,09:41:00,263.35,263.41,262.04,262.9,33942,916,262.723137,1Min,sip
COIN,2025-12-15T14:42:00Z,2025-12-15 09:42:00-0500,2025-12-15,09:42:00,262.805,262.8599,261.19,261.28,42344,1139,262.146739,1Min,sip
COIN,2025-12-15T14:43:00Z,2025-12-15 09:43:00-0500,2025-12-15,09:43:00,261.19,261.6199,260.12,260.6147,32712,1049,260.709957,1Min,sip
COIN,2025-12-15T14:44:00Z,2025-12-15 09:44:00-0500,2025-12-15,09:44:00,261.01,261.2612,260.15,260.245,31393,811,260.620288,1Min,sip
COIN,2025-12-15T14:45:00Z,2025-12-15 09:45:00-0500,2025-12-15,09:45:00,260.46,261.16,259.5,259.66,92906,2305,260.334074,1Min,sip
COIN,2025-12-15T14:46:00Z,2025-12-15 09:46:00-0500,2025-12-15,09:46:00,259.6,260.23,258.6,259.38,70213,1622,259.230271,1Min,sip
COIN,2025-12-15T14:47:00Z,2025-12-15 09:47:00-0500,2025-12-15,09:47:00,259.42,260.1,257.64,258.0,113399,2132,259.32717,1Min,sip
COIN,2025-12-15T14:48:00Z,2025-12-15 09:48:00-0500,2025-12-15,09:48:00,257.69,258.58,257.23,257.51,48564,1247,257.939974,1Min,sip
COIN,2025-12-15T14:49:00Z,2025-12-15 09:49:00-0500,2025-12-15,09:49:00,257.36,258.16,257.0,258.135,53445,1138,257.626658,1Min,sip
COIN,2025-12-15T14:50:00Z,2025-12-15 09:50:00-0500,2025-12-15,09:50:00,258.14,258.88,257.8,257.8,45924,988,258.26311,1Min,sip
COIN,2025-12-15T14:51:00Z,2025-12-15 09:51:00-0500,2025-12-15,09:51:00,258.0,258.59,257.51,257.845,90372,1426,257.944048,1Min,sip
COIN,2025-12-15T14:52:00Z,2025-12-15 09:52:00-0500,2025-12-15,09:52:00,257.79,258.06,255.8,257.31,74513,1955,256.748821,1Min,sip
COIN,2025-12-15T14:53:00Z,2025-12-15 09:53:00-0500,2025-12-15,09:53:00,256.97,257.76,256.5,256.7122,54884,1132,257.054053,1Min,sip
COIN,2025-12-15T14:54:00Z,2025-12-15 09:54:00-0500,2025-12-15,09:54:00,256.98,257.435,255.65,255.9,39422,1018,256.223511,1Min,sip
COIN,2025-12-15T14:55:00Z,2025-12-15 09:55:00-0500,2025-12-15,09:55:00,255.9,256.2,255.31,255.93,33180,1108,255.7312,1Min,sip
COIN,2025-12-15T14:56:00Z,2025-12-15 09:56:00-0500,2025-12-15,09:56:00,255.92,256.22,254.19,254.35,71958,2230,255.239651,1Min,sip
COIN,2025-12-15T14:57:00Z,2025-12-15 09:57:00-0500,2025-12-15,09:57:00,254.05,254.585,253.2,253.49,103923,2390,253.791128,1Min,sip
COIN,2025-12-15T14:58:00Z,2025-12-15 09:58:00-0500,2025-12-15,09:58:00,253.69,254.6869,253.4,253.55,50420,1370,254.009764,1Min,sip
COIN,2025-12-15T14:59:00Z,2025-12-15 09:59:00-0500,2025-12-15,09:59:00,253.69,254.0,253.1,253.7101,50604,1264,253.674901,1Min,sip
COIN,2025-12-15T15:00:00Z,2025-12-15 10:00:00-0500,2025-12-15,10:00:00,253.745,254.42,253.1,253.395,69434,1586,253.867013,1Min,sip
COIN,2025-12-15T15:01:00Z,2025-12-15 10:01:00-0500,2025-12-15,10:01:00,253.395,253.465,252.25,252.86,72060,1786,252.706955,1Min,sip
COIN,2025-12-15T15:02:00Z,2025-12-15 10:02:00-0500,2025-12-15,10:02:00,252.83,253.04,252.5,252.8752,41547,994,252.769358,1Min,sip
COIN,2025-12-15T15:03:00Z,2025-12-15 10:03:00-0500,2025-12-15,10:03:00,252.95,252.96,251.33,251.95,84629,2076,252.068756,1Min,sip
COIN,2025-12-15T15:04:00Z,2025-12-15 10:04:00-0500,2025-12-15,10:04:00,251.92,251.94,251.05,251.265,37791,1122,251.40464,1Min,sip
COIN,2025-12-15T15:05:00Z,2025-12-15 10:05:00-0500,2025-12-15,10:05:00,251.1,254.0,251.0201,253.99,61168,1499,252.838831,1Min,sip
COIN,2025-12-15T15:06:00Z,2025-12-15 10:06:00-0500,2025-12-15,10:06:00,253.915,254.33,253.48,253.7,65030,1452,253.818156,1Min,sip
COIN,2025-12-15T15:07:00Z,2025-12-15 10:07:00-0500,2025-12-15,10:07:00,253.74,254.558,253.3801,254.405,33275,903,253.915008,1Min,sip
COIN,2025-12-15T15:08:00Z,2025-12-15 10:08:00-0500,2025-12-15,10:08:00,254.3861,254.67,253.78,253.94,46552,1119,254.326132,1Min,sip
COIN,2025-12-15T15:09:00Z,2025-12-15 10:09:00-0500,2025-12-15,10:09:00,254.0,254.56,253.773,253.87,24405,833,254.161053,1Min,sip
COIN,2025-12-15T15:10:00Z,2025-12-15 10:10:00-0500,2025-12-15,10:10:00,253.7925,254.01,253.2605,253.53,33560,1254,253.567716,1Min,sip
COIN,2025-12-15T15:11:00Z,2025-12-15 10:11:00-0500,2025-12-15,10:11:00,253.55,254.1,253.0,253.1025,42351,1061,253.479403,1Min,sip
COIN,2025-12-15T15:12:00Z,2025-12-15 10:12:00-0500,2025-12-15,10:12:00,253.0,254.076,252.8075,253.74,24757,596,253.647302,1Min,sip
COIN,2025-12-15T15:13:00Z,2025-12-15 10:13:00-0500,2025-12-15,10:13:00,253.74,254.97,253.5601,254.69,34168,850,254.381997,1Min,sip
COIN,2025-12-15T15:14:00Z,2025-12-15 10:14:00-0500,2025-12-15,10:14:00,254.82,254.94,253.77,253.98,24223,662,254.455452,1Min,sip
COIN,2025-12-15T15:15:00Z,2025-12-15 10:15:00-0500,2025-12-15,10:15:00,253.895,254.28,253.35,253.75,28194,794,253.703911,1Min,sip
COIN,2025-12-15T15:16:00Z,2025-12-15 10:16:00-0500,2025-12-15,10:16:00,253.8,254.17,253.63,253.9,21075,684,253.930711,1Min,sip
